transaction_id,store_id,datetime,customer_id,item_id,quantity,price,total_amount,payment_mode,customer_type
TXN-976073,101,2025-12-25 11:51:03.917246,CUST-0369,62,1,6.29,6.29,Cash,mobile-app
TXN-324719,102,2025-11-10 11:49:03.918244,CUST-0275,4,2,4.81,9.62,UPI,mobile-app
TXN-271415,103,2025-12-21 18:59:03.918244,CUST-0019,31,1,3.41,3.41,UPI,mobile-app
TXN-761733,103,2025-11-02 14:48:03.919244,CUST-0314,46,1,4.62,4.62,Cash,mobile-app
TXN-555520,102,2026-01-27 08:58:03.919244,CUST-0242,10,1,4.9,4.9,UPI,walk-in
TXN-229108,102,2025-12-01 11:55:03.920246,CUST-0353,6,1,5.16,5.16,Card,mobile-app
TXN-130273,103,2026-02-27 19:10:03.920246,CUST-0026,42,1,5.61,5.61,Card,mobile-app
TXN-761649,102,2026-02-26 16:30:03.920246,CUST-0319,13,1,3.77,3.77,Card,mobile-app
TXN-821421,102,2025-11-08 08:23:03.921246,CUST-0201,3,1,4.41,4.41,UPI,walk-in
TXN-725182,103,2025-10-25 12:56:03.921246,CUST-0235,23,1,5.85,5.85,Cash,walk-in
TXN-823713,103,2025-11-21 10:32:03.921246,CUST-0496,42,1,6.67,6.67,Cash,mobile-app
TXN-551345,102,2026-01-01 18:23:03.922245,CUST-0144,72,1,4.15,4.15,UPI,mobile-app
TXN-838709,103,2026-01-26 11:36:03.922245,CUST-0454,70,2,5.74,11.48,Cash,mobile-app
TXN-803174,101,2026-02-09 12:38:03.922245,CUST-0203,6,1,5.67,5.67,Cash,walk-in
TXN-398927,101,2026-02-01 11:08:03.923245,CUST-0284,43,1,3.72,3.72,Cash,walk-in
TXN-191213,103,2025-11-24 12:51:03.923245,CUST-0203,27,1,5.16,5.16,Cash,walk-in
TXN-629745,102,2026-03-24 18:15:03.923245,CUST-0173,21,1,5.47,5.47,Card,walk-in
TXN-759727,102,2026-01-29 10:10:03.924245,CUST-0054,19,1,3.75,3.75,Cash,mobile-app
TXN-250430,102,2026-01-25 16:57:03.924245,CUST-0325,34,2,6.5,13.0,Cash,walk-in
TXN-327336,101,2026-01-01 19:04:03.924245,CUST-0480,23,2,5.94,11.88,Cash,walk-in
TXN-325087,101,2025-10-24 14:40:03.925244,CUST-0051,34,2,6.48,12.96,UPI,walk-in
TXN-177160,103,2025-12-06 18:18:03.925244,CUST-0181,68,3,4.92,14.76,Cash,walk-in
